"Initial commit","Structure/Documentation"
"Initial commit

MVC structure set up.","Structure/Documentation"
"Added gitignore","Structure/Documentation"
"Tested commit","Testing"
"git commit -m "Added test-data" -m "Added dummy data to configure the UI."","Data Handling"
"git commit -m "Root and menu created." -m "Created a base UI with an options-menu."","Feature"
"Merge pull request #1 from EmmaPesjak/skeleton_view

Skeleton view","Git Operation"
"Exit handling

Feature: Added functionality for closing the application.","Feature"
"Merge pull request #2 from EmmaPesjak/exit_handling

Exit handling","Git Operation"
"Layout

Feature:Configured a grid layout to have one side menu bar and one expandable window for the rest of the application.","Feature"
"Menubar created

Feature: The menu bar is configured and a dark/light mode has been added.","Feature"
"Merge pull request #3 from EmmaPesjak/menubar

Menubar","Git Operation"
"Refactored view

Refactored mainview to be more readable aby separating code into methods.","Structure/Documentation"
"Added diagrams

Feature: Added charts to overview with test data, using matplot.lib","Feature"
"Refactored diagrams

Changed layout of diagrams to a grid","Structure/Documentation"
"Merge pull request #4 from EmmaPesjak/diagrams

Diagrams","Git Operation"
"Feature: user specific data

Added functionality so that a new window opens when selecting a user.","Feature"
"Merge pull request #5 from EmmaPesjak/user_specific

Feature: user specific data","Git Operation"
"Feature

Added frames to the user menu layout","Feature"
"Merge pull request #6 from EmmaPesjak/user_analysis

Feature","Git Operation"
"Feature

Added diagrams for specific user.","Feature"
"Feature

Added info-text in info-bar","Feature"
"Merge pull request #7 from EmmaPesjak/user-diagrams

User diagrams","Git Operation"
"Feature

Added the event listener for the repo-input, which will be passed to model for data mining","Feature"
"Merge pull request #8 from EmmaPesjak/repository-mining

Feature","Git Operation"
"Fix: refactor

Refactored and moved cominstance attributes to the __init__ metod.","Structure/Documentation"
"Fix: refactor

Refactored and added comments","Structure/Documentation"
"Merge pull request #9 from EmmaPesjak/view_cleanup

View cleanup","Git Operation"
"Pydriller set up

Set up PyDriller and retrieved data from repository path","Data Handling"
"Author git mining

Retrieves authors from provided repository","Data Handling"
"Feature

Retrieves correct amount of commits for project","Feature"
"Feature

Writes authors with its commits to json file","Feature"
"Feature

Added method for getting total amount of commits, to be updated in view.","Feature"
"Merge pull request #10 from EmmaPesjak/repository-mining

Repository mining","Git Operation"
"Fix: Diagram display/update

Changed so that the diagrams and repo information is only displayed after a repository has been selected. The diagrams/infobar is also updated after a new repo is selected.","Feature"
"Feature: Loading repo in sepatate thread

Added functionality for fetching repositories in a separate thread. Also added a loading widget","Feature"
"Merge pull request #11 from EmmaPesjak/widow-update

Widow update","Git Operation"
"Feature: DataVisualizer

Break out the diagram making into a separate class.","Structure/Documentation"
"Fix: loading

Fixed so that all old data is removed from the GUI and only the loading text is visible while getting new repositories.","Feature"
"Merge pull request #12 from EmmaPesjak/data_visualizer

Data visualizer","Git Operation"
"Feature

Added a filtering method for ignoring merge commits","Feature"
"Feature for retrieving all data

Retrieves authors, commit messages with timestamps, and the files + filepaths that have been changed.","Data Handling"
"Feature: Added a SQLite db for storing commit data","Data Handling"
"Feature: Empty the database on exit","Data Handling"
"Feature: Gets total amount of commits","Feature"
"Feature: Gets most active month","Feature"
"Feature: DB Clears for new repo

Added functionality for clearing the database when user enters a new repo","Data Handling"
"Feature: Added CommitAnalyzer

Added a new class with a tuple of categories, where to analyze commit messages using NLP","Feature"
"Merge pull request #13 from EmmaPesjak/author-filtering

Author filtering","Git Operation"
"Feature: Only returns the names of authors

The get_authors now only returns the names in a list instead of author object.","Structure/Documentation"
"Bug: Fixed bug with returning author files

Fixed issue with returning the author commits and files.","Bug Fix/Error Handling"
"Fixed bug: Timeline count

Fixed bug related to returning all 12 months commit count","Bug Fix/Error Handling"
"Feature: Fixed all select endpoints

Added och adjusted all endpoints","Data Handling"
"Fix: Commit messages

Fixed so it returns a list instead of list of tuples","Feature"
"Merge pull request #14 from EmmaPesjak/db-requests

Db requests","Git Operation"
"Feature: added preprocessing of data","Feature"
"Merge pull request #15 from EmmaPesjak/nlp

Feature: added preprocessing of data","Git Operation"
"Feature: Added checks for input

Added a check for verifying the git repo, with displaying an error message to user","Feature"
"Fix: Refined input check","Feature"
"Merge pull request #16 from EmmaPesjak/input-check

Input check","Git Operation"
"Feature: continued the preprocessing of data with vectorization.","Feature"
"Merge pull request #17 from EmmaPesjak/vectorization

Feature: continued the preprocessing of data with vectorization.","Git Operation"
"fixed so that commit messages are lowercased","Feature"
"Feature: added LDA topic modelling","Feature"
"Merge pull request #18 from EmmaPesjak/lowercasing_commits

fixed so that commit messages are lowercased","Git Operation"
"Merge pull request","Git Operation"
"Feature: category mapping and removal of low frequency words","Feature"
"Merge pull request #20 from EmmaPesjak/low_frequency

Feature: category mapping and removal of low frequency words","Git Operation"
"Docs: Notes on categorizing

TODO's; how to find context to categorize","Structure/Documentation"
