"initial commit","Setup"
"Added DaoBase Project","Setup"
"stripped down because of AbstractDao","Setup"
"renamed table to entity","Refactoring"
"renamed column to property","Refactoring"
"docs, etc","Documentation"
"changed to android library, load by rowid","Refactoring"
"docs","Documentation"
"initial DaoTest project","Setup"
"new source for generating test entities","Testing"
"Generated entity, etc.","Database"
"Column abstraction, more compact DAO subclasses","Database"
"various fixes","Bug Fix"
"more property types, etc.","Feature Addition"
"swapped tests","Testing"
"added testAssignPk","Testing"
"minor","Other"
"value tests","Testing"
"added 2nd query, delete prepStmt","Database"
"added update for entities","Database"
"nullable update tests","Testing"
"initial AbstractDaoMaster","Setup"
"minor","Other"
"divided AbstractDaoTest","Setup"
"update lists, performance tests","Testing"
"deleleteAll, more performance tests","Testing"
"added performance test project for ORMLite","Testing"
"Collected performance data: greenDAO vs. ORMLite","Other"
"read uses constructor if available","Feature Addition"
"renamed package orm to dao, javadoc, etc.","Documentation"
"javadoc","Documentation"
"consider "has value" of protobuf","Database"
"updated performance table","Database"
"minor renames","Refactoring"
"added index support, property refactoring","Refactoring"
"ignore bin","Setup"
"out path must exist, changed src dir","Setup"
"added example project","Setup"
"added Example test","Setup"
"Applied Apache License 2.0","Setup"
"added refresh method, DaoException","Feature Addition"
"added DaoMaster, active entities, to-one relations","Database"
"prepared new Properties in DAO, +minor","Database"
"resolved flag for to-one","Bug Fix"
"Using Properties class in DAO","Feature Addition"
"make load return null for null key","Database"
"createAllTables, refactored tests, added dao master test","Testing"
"SQLiteOpenHelper etc.","Database"
"new DAO example","Setup"
"added run/callInTx","Feature Addition"
"added date type, added unit test generation","Testing"
"offset for read, getTablename in abstract DAO","Database"
"loadDeep","Database"
"queryDeep","Database"
"refreshed example","Refactoring"
"refined relation test","Testing"
"simplefied build","Refactoring"
"added error info, etc.","Documentation"
"make tests more configurable by sub classes","Testing"
"added testSemantics","Testing"
"prepared IdentityScope etc.","Setup"
"identity scope passing tests","Testing"
"refactored statements into separate classes","Refactoring"
"minor, tests for identity deep query","Testing"
"attachEntity, more tests, etc.","Testing"
"fixed loadDeep with idScope","Bug Fix"
"added intermediate values","Other"
"more intelligent to-one in entities","Database"
"fixes for not-null to-one relation, fix for loadDeep without results","Database"
"testToOneLoadDeepNull","Testing"
"fix & tests for to-one relations without matches in target table","Testing"
"DaoSession","Other"
"support identity scopes in session","Setup"
"DaoConfig","Setup"
"session tests","Testing"
"method renames to match JPA & Hibernate","Refactoring"
"detach, etc.","Other"
"Updated DaoExample","Refactoring"
"added docs and methods to session","Documentation"
"some dumb docs","Documentation"
"refreshed example jars (preview 2)","Setup"
"QueryBuilder concept","Database"
"quote columns for special names","Database"
"first Query working, refactoring","Refactoring"
"LazyList","Feature Addition"
"lazy list iterator","Feature Addition"
"uncached lazy lists, docs","Documentation"
"list iterator with auto close","Feature Addition"
"refactoring: TestEntityTestBase","Refactoring"
"testNotEqString","Testing"
"import entities","Setup"
"added GPL header","Feature Addition"
"some fixes","Bug Fix"
"added or to queryBuilder","Database"
"added AND","Database"
"removed simple OR","Database"
"Refactored where conditions for QueryBuilder, DaoLog, etc.","Database"
"partial fix for listIterator.previous","Bug Fix"
"minor fix","Bug Fix"
"fixed IN","Bug Fix"
"added javadocs and convenience for query builder","Documentation"
"preview 3","Other"
"renamed dao.test package","Refactoring"
"improved & extended performance tests","Testing"
"added test sub packages","Testing"
"performance work wip","Other"
"refactoring","Refactoring"
"lock optimization","Feature Addition"
"new performance figures","Feature Addition"
"getType, etc","Other"
"added  in(Collection)","Feature Addition"
"close cursor in tests","Testing"
"preparing to-ones without fk properties (experimental)","Database"
"Keep code for generated entities","Database"
"check value type, orderDesc","Database"
"tested and fixed Date/boolean property values","Testing"
"renamed DaoBase to DaoCore","Refactoring"
"added dummy ressources as a workaround for the git empty directory
problem","Bug Fix"
"(not)Null tests for query builder","Testing"
"enabled findbugs, minor fixes","Bug Fix"
"using Reference","Other"
"prepared: bind to-one values without fk property","Database"
"updated build","Setup"
"testDeleteAll","Testing"
"fixed order with multiple properties","Bug Fix"
"testDeleteAll","Testing"
"comment for not-null values","Documentation"
"fixed testAssignPk for protobuf tests, new line","Testing"
"kicked out Column again; using Property instead","Database"
"added useFkProperty flag to to-ones","Database"
"to-many skeleton","Database"
"first to-many working","Database"
"reset to-many, test refactoring","Database"
"new tests for resetting to-many relations","Testing"
"added order for to-many","Database"
