"initial commit","Administrative"
"Added DaoBase Project","Administrative"
"renamed table to entity","Perfective"
"renamed column to property","Perfective"
"docs, etc","Administrative"
"changed to android library, load by rowid","Perfective"
"docs","Administrative"
"initial DaoTest project","Administrative"
"new source for generating test entities","Adaptive"
"Generated entity, etc.","Adaptive"
"Column abstraction, more compact DAO subclasses","Perfective"
"various fixes","Corrective"
"more property types, etc.","Adaptive"
"swapped tests","Perfective"
"minor","Other"
"value tests","Adaptive"
"added 2nd query","Adaptive"
"delete prepStmt","Perfective"
"initial AbstractDaoMaster","Administrative"
"minor","Other"
"divided AbstractDaoTest","Perfective"
"update lists,","Perfective"
"performance tests","Adaptive"
"deleleteAll, more performance tests","Adaptive"
"added performance test project for ORMLite","Adaptive"
"Collected performance data: greenDAO vs. ORMLite","Perfective"
"renamed package orm to dao","Perfective"
"javadoc, etc.","Administrative"
"javadoc","Administrative"
"consider 'has value' of protobuf","Other"
"updated performance table","Perfective"
"minor renames","Perfective"
"property refactoring","Perfective"
"ignore bin","Perfective"
"out path must exist, changed src dir","Perfective"
"added example project","Administrative"
"Applied Apache License 2.0","Perfective"
"added refresh method, DaoException","Adaptive"
"added DaoMaster, active entities, to-one relations","Adaptive"
"resolved flag for to-one","Corrective"
"make load return null for null key","Adaptive"
"createAllTables","Adaptive"
"refactored tests","Perfective"
"added dao master test","Adaptive"
"SQLiteOpenHelper etc.","Adaptive"
"new DAO example","Adaptive"
"added run/callInTx","Adaptive"
"loadDeep","Adaptive"
"queryDeep","Adaptive"
"refreshed example","Perfective"
"refined relation test","Perfective"
"simplefied build","Perfective"
"make tests more configurable by sub classes","Perfective"
"added testSemantics","Adaptive"
"prepared IdentityScope etc.","Adaptive"
"identity scope passing tests","Perfective"
"refactored statements into separate classes","Perfective"
"minor, tests for identity deep query","Adaptive"
"attachEntity, more tests, etc.","Adaptive"
"fixed loadDeep with idScope","Corrective"
"more intelligent to-one in entities","Perfective"
"fixes for not-null to-one relation, fix for loadDeep without results","Corrective"
"fix & tests for to-one relations without matches in target table","Corrective"
"support identity scopes in session","Perfective"
"session tests","Adaptive"
"method renames to match JPA & Hibernate","Perfective"
"detach, etc.","Other"
"Updated DaoExample","Perfective"
"added docs","Administrative"
"and methods to session","Adaptive"
"some dumb docs","Administrative"
"refreshed example jars (preview 2)","Perfective"
"QueryBuilder concept","Adaptive"
"quote columns for special names","Adaptive"
"first Query working, refactoring","Perfective"
"lazy list iterator","Adaptive"
"docs","Administrative"
"list iterator with auto close","Adaptive"
"refactoring: TestEntityTestBase","Perfective"
"testNotEqString","Adaptive"
"added GPL header","Adaptive"
"some fixes","Corrective"
"removed simple OR","Perfective"
"Refactored where conditions for QueryBuilder, DaoLog, etc.","Perfective"
"partial fix for listIterator.previous","Corrective"
"minor fix","Corrective"
"fixed IN","Corrective"
"added javadocs and convenience for query builder","Administrative"
"preview 3","Other"
"renamed dao.test package","Perfective"
"improved & extended performance tests","Perfective"
"added test sub packages","Adaptive"
