"package rename to io.objectbox","Perfective"
"move java tests to tests sub dir","Perfective"
"minor improvements to flatbuffers model, move java model classes with cp and sed","Perfective"
"fix imports for new model package","Perfective"
"more flexible BoxStoreBuilder.java and android Context support","Perfective"
"defaultStore in BoxStoreBuilder.java","Other"
"move defaultStore in BoxStore.java","Perfective"
"collect entity classes using builder","Adaptive"
"renamed some VS stuff to ObjectBox, removed .gitignore for tests","Perfective"
"load lib objectbox","Other"
"minor","Other"
"added property flag NON_PRIMITIVE_TYPE

added Properties class

give Cursors a Properties instance

verify entity is know before returning a box

prepared 2nd entity TestEntityMinimal.java for unit testing

sharedReadTx to make txs across boxes work

fix some test deps","Adaptive"
"Box: some JavaDocs, shortcut for null or empty collections","Administrative"
"prep daocompat for upload","Adaptive"
"find scalars using a list","Adaptive"
"Java: find string returns a list","Adaptive"
"added find()s to Box","Adaptive"
"various, e.g. running bulk perf test from example app","Perfective"
"perf test: added fixed byte array with length 6","Adaptive"
"find string using property id","Adaptive"
"add version","Other"
"getting all entities in native, crashes at the moment (local reference table overflow (max=512)) and is slower on Desktop when deleting local refs

Java_io_objectbox_Cursor_nativePutSimpleEntity

Basic copy of query and builder API.

Initial query implementation using objectbox find.

Use find method overloads based on value type.

Java_io_objectbox_Cursor_nativeFindScalarPropertyId","Other"
"testUnalignedMemoryAccess","Adaptive"
"CursorBytesTest.java: Sizes must be multiple of 4 (currently not enforced)","Adaptive"
"fix some java tests: pad bytes to length 4","Adaptive"
"moved objectbox-api to objectbox-java-api","Perfective"
"prepared Query&Builder on the Java side","Adaptive"
"fixes to build Query in Java","Adaptive"
"added @Temporary to API","Adaptive"
"init Property IDs (for query builder)","Adaptive"
"fixes to make Java Query work","Corrective"
"count for Java Query","Adaptive"
"!=, >, < for scalars","Adaptive"
"== and != for String","Adaptive"
"contains, startsWith, and endsWith for String","Adaptive"
"java find with offset and limit","Adaptive"
"in and betwwen for Java QueryBuilder (FIXME DbException: invalid unordered_map<K, T> key)

Java query builder: null/notNull && FP

Fix TestEntityProperties types and all properties field.

- Also populate simpleLong property in Query test.

Support additional query conditions.

Do not validate values for null/notNull operations.

Actually copy values for in op.

Add Float support to PropertyCondition greater/less ops.

- They support Double, so they should support Float as well.

rename WhereCondition to QueryCondition","Corrective"
"fix tests using DummyProperties","Adaptive"
"Add contains, starts/endsWith to Property class.

- Replacement for like() from greenDAO.","Adaptive"
"prep some PropertyConverter stuff to happen in C++","Adaptive"
"fix","Corrective"
"Generate converter info into Property Java class (0.9.1-SNAPSHOT)","Adaptive"
"make Properties available to BoxStore, prep native registration","Adaptive"
"fix JniPropertyConverter.javaClassName","Corrective"
"added testBigResultList","Adaptive"
