"Merge branch 'fix-load-native-lib-for-static-methods' into 'dev' Regression: ensure native library is loaded in static methods See merge request objectbox/objectbox-java!131","Other"
"Merge branch 'max-data-size-stable' into 'dev' maxDataSize is stable See merge request objectbox/objectbox-java!130","Other"
"Merge branch '194-in-memory' into 'dev' Resolve "Add test for in-memory" See merge request objectbox/objectbox-java!127","Other"
"BoxStoreBuilder: extract directory state checks.","Perfective"
"Merge branch '196-query-build-fail-fatal' into 'dev' Guard any Store pointer access with open check See merge request objectbox/objectbox-java!128","Other"
"InternalAccess: remove unused APIs.","Perfective"
"Merge branch 'main' into dev","Other"
"Merge branch 'ci-fix-asan-detection' into 'dev' Fix run with ASAN script See merge request objectbox/objectbox-java!123","Other"
"Merge branch 'kotlin-1.4-compat' into 'dev' Make objectbox-kotlin compilable by Kotlin 1.4 See merge request objectbox/objectbox-java!126","Other"
"Follow-up: fix script error due to Gradle 8 regression.","Corrective"
"README: clarify supported platforms of the Java library, clean up.","Administrative"
"Merge branch '190-config-package' into 'dev' Create config package for FlatBuffers-generated config types #190 See merge request objectbox/objectbox-java!125","Other"
"Merge branch '186-kv-validation-support' into 'dev' Add Key/Value validation options and tests See merge request objectbox/objectbox-java!124","Other"
"Tests: move validation tests to new class.","Perfective"
"Merge branch 'update-flatbuffers' into dev","Other"
"Merge branch 'ci-test-jdk-11' into 'dev' [CI] Gradle 8 follow-up: fix toolchain auto-download See merge request objectbox/objectbox-java!122","Other"
"Gradle: rename settings.gradle for KTS.","Perfective"
"Gradle: convert settings.gradle to KTS.","Perfective"
"Gradle 8: add plugin to resolve toolchain.","Corrective"
"Copyright: update license year to 2023.","Adminitrative"
"Merge branch '176-support-scalar-arrays' into 'dev' Java library: Support scalar arrays See merge request objectbox/objectbox-java!118","Other"
"CursorTest: assert put with invalid ID error message.","Corrective"
"Add docs to SchemaException, other docs changes, match with Dart.","Administrative"
"Unchecked warnings: fix type params for ToOneGetter/ToManyGetter (#59)","Corrective"
"javadoc and code formatting.","Administrative"
"Add maxDataSizeInKbyte to FlatStoreOptions, add TreeOptionFlags","Adaptive"
"Also reapply: 'Update SyncFlags: rename to DebugLogIdMapping","Perfective"
"add ClientKeepDataOnSyncError'","Adaptive"
"Update SyncFlags: rename to DebugLogIdMapping","Perfective"
"add ClientKeepDataOnSyncError","Adaptive"
"Update README.md","Administrative"
"Extract publishing configuration to precompiled script plugin.","Perfective"
"FlatBuffers update: add docs for update script.","Administrative"
"FlatBuffers update: add license file.","Administrative"
"Query tests: close query, resolve all warnings.","Corrective"
"BoxStore: assert native Entity instances are not leaked (objectbox#825)","Corrective"
"Feature: resolve warnings.","Corrective"
"Query: throw helpful error if using closed query (objectbox#818)","Corrective"
"QueryBuilder: fix assert when closed, throw on and/or (objectbox#818)","Corrective"
"Query: throw helpful error if using closed query (objectbox#818)","Corrective"
"BoxStore: move subscribe methods together.","Perfective"
"API docs: update copyright year to 2022.","Administrative"
"database description in README plus a couple of other small edits","Administrative"
"Add feedback link to README.md, small updates.","Administrative"
"Update year in API docs footer.","Administrative"
"Add FlexObjectConverter.","Adaptive"
"Add containsKeyValue query condition and setParameters overload.","Adaptive"
"Resolve warning: Instead of toString() use this.","Corrective"
"Add BoxStore.awaitCallInTx suspend function.","Adaptive"
"Add link to docs about sideloading and lib loading issues.","Administrative"
"Merge branch '113-string-condition-case-updates' into dev","Other"
"BoxStoreTest: resolve warnings.","Corrective"
"Add generic FlexMapConverter.","Adaptive"
"Tree: extend JavaDocs","Administrative"
"BoxStore: update version string to 2021-08-18","Perfective"
"minor doc fixes","Administrative"
"Tree: add pathSeparatorRegex property","Adaptive"
"Branch path changes (make path string more prominent)","Perfective"
"JavaDocs","Administrative"
"TreeTest: rename root() to getRoot()","Perfective"
"add getRootId(), implement Closeable","Adaptive"
"add JavaDocs","Administrative"
"Add and use native feature detection API.","Adaptive"
"Add StringMapConverter using FlexBuffers, test it.","Adaptive"
"Add @Type annotation and DatabaseType enum.","Adaptive"
"BoxStoreBuilder: add noReaderThreadLocals flag","Adaptive"
"Update docs on Index and StringOrder.","Administrative"
"BoxStore: add Linux-only sysProcMeminfoKb() and sysProcStatusKb()","Adaptive"
"Prepare release 2.9.2-RC3","Perfective"
"Prepare release 2.9.2-RC2","Perfective"
"Publisher order: refactor duplicate code.","Perfective"
"Update subscriber and transformer documentation.","Administrative"
"Query API 2: rename conditions to match old names.","Perfective"
"Kotlin: add flow extension functions for BoxStore and Query.","Adaptive"
"Reorganize extension functions (keep package name).","Perfective"
"Move Kotlin tests next to Java tests.","Perfective"
"Query API 2: update between docs.","Administrative"
"Document how to use case sensitive conditions for String properties.","Administrative"
"Add infix extension functions for Property condition methods.","Adaptive"
"Add some tests for the new query API.","Adaptive"
"Add SyncFlags","Adaptive"
"Tree: add getter for the store","Adaptive"
"Tree API: resolve some warnings.","Corrective"
"Tree: add setters for Leaf values and add put() for Leaf","Adaptive"
"switch test project to Java 9 to enable printing the process ID","Perfective"
"Tree API: add overload to pass dot path.","Adaptive"
"Trees: implement Branch.branch()/leaf() overloads.","Adaptive"
"Trees: move to tree package.","Perfective"
"Conflict: only support REPLACE strategy for now","Corrective"
"update docs.","Administrative"
"QueryTest: resolve all warnings.","Corrective"
"Add SHARED_GLOBAL_IDS entity flag","Adaptive"
"update ModelProperty docs","Administrative"
